,graph,start_index,starting_neighbors,starting_betweenness,transitivity,components,initial_positive,average_path,iterations,threshold,number_convinced
149,SW,21838,5,61147.06226995859,0.21545274302545894,1,5000,6.9299126943015805,5,10,4504
150,SW,21838,5,61147.06226995859,0.21545274302545894,1,10000,6.9299126943015805,5,10,20100
151,SW,21838,5,61147.06226995859,0.21545274302545894,1,15000,6.9299126943015805,5,10,21003
152,SW,21838,5,61147.06226995859,0.21545274302545894,1,1000,6.9299126943015805,5,20,986
153,SW,21838,5,61147.06226995859,0.21545274302545894,1,5000,6.9299126943015805,5,20,17768
154,SW,21838,5,61147.06226995859,0.21545274302545894,1,10000,6.9299126943015805,5,20,19277
155,SW,21838,5,61147.06226995859,0.21545274302545894,1,15000,6.9299126943015805,5,20,20348
156,SW,5917,6,91051.60857354713,0.21545274302545894,1,1000,6.9299126943015805,5,5,969
157,SW,5917,6,91051.60857354713,0.21545274302545894,1,5000,6.9299126943015805,5,5,19889
158,SW,5917,6,91051.60857354713,0.21545274302545894,1,10000,6.9299126943015805,5,5,20936
159,SW,5917,6,91051.60857354713,0.21545274302545894,1,15000,6.9299126943015805,5,5,21818
160,SW,5917,6,91051.60857354713,0.21545274302545894,1,1000,6.9299126943015805,5,10,977
161,SW,5917,6,91051.60857354713,0.21545274302545894,1,5000,6.9299126943015805,5,10,18809
162,SW,5917,6,91051.60857354713,0.21545274302545894,1,10000,6.9299126943015805,5,10,20111
163,SW,5917,6,91051.60857354713,0.21545274302545894,1,15000,6.9299126943015805,5,10,21040
164,SW,5917,6,91051.60857354713,0.21545274302545894,1,1000,6.9299126943015805,5,20,978
165,SW,5917,6,91051.60857354713,0.21545274302545894,1,5000,6.9299126943015805,5,20,17832
166,SW,5917,6,91051.60857354713,0.21545274302545894,1,10000,6.9299126943015805,5,20,19202
167,SW,5917,6,91051.60857354713,0.21545274302545894,1,15000,6.9299126943015805,5,20,20363
168,SW,23669,7,132389.28470711492,0.21545274302545894,1,1000,6.9299126943015805,5,5,980
169,SW,23669,7,132389.28470711492,0.21545274302545894,1,5000,6.9299126943015805,5,5,19930
170,SW,23669,7,132389.28470711492,0.21545274302545894,1,10000,6.9299126943015805,5,5,20995
171,SW,23669,7,132389.28470711492,0.21545274302545894,1,15000,6.9299126943015805,5,5,21813
172,SW,23669,7,132389.28470711492,0.21545274302545894,1,1000,6.9299126943015805,5,10,982
173,SW,23669,7,132389.28470711492,0.21545274302545894,1,5000,6.9299126943015805,5,10,18668
174,SW,23669,7,132389.28470711492,0.21545274302545894,1,10000,6.9299126943015805,5,10,20117
175,SW,23669,7,132389.28470711492,0.21545274302545894,1,15000,6.9299126943015805,5,10,21094
176,SW,23669,7,132389.28470711492,0.21545274302545894,1,1000,6.9299126943015805,5,20,983
177,SW,23669,7,132389.28470711492,0.21545274302545894,1,5000,6.9299126943015805,5,20,17744
178,SW,23669,7,132389.28470711492,0.21545274302545894,1,10000,6.9299126943015805,5,20,19309
179,SW,23669,7,132389.28470711492,0.21545274302545894,1,15000,6.9299126943015805,5,20,20361
180,SW,19859,6,67731.47156560032,0.21545274302545894,1,1000,6.9299126943015805,5,5,988
181,SW,19859,6,67731.47156560032,0.21545274302545894,1,5000,6.9299126943015805,5,5,19974
182,SW,19859,6,67731.47156560032,0.21545274302545894,1,10000,6.9299126943015805,5,5,20891
183,SW,19859,6,67731.47156560032,0.21545274302545894,1,15000,6.9299126943015805,5,5,21749
184,SW,19859,6,67731.47156560032,0.21545274302545894,1,1000,6.9299126943015805,5,10,976
185,SW,19859,6,67731.47156560032,0.21545274302545894,1,5000,6.9299126943015805,5,10,18742
186,SW,19859,6,67731.47156560032,0.21545274302545894,1,10000,6.9299126943015805,5,10,20093
187,SW,19859,6,67731.47156560032,0.21545274302545894,1,15000,6.9299126943015805,5,10,21100
188,SW,19859,6,67731.47156560032,0.21545274302545894,1,1000,6.9299126943015805,5,20,972
189,SW,19859,6,67731.47156560032,0.21545274302545894,1,5000,6.9299126943015805,5,20,17705
190,SW,19859,6,67731.47156560032,0.21545274302545894,1,10000,6.9299126943015805,5,20,19316
191,SW,19859,6,67731.47156560032,0.21545274302545894,1,15000,6.9299126943015805,5,20,20370
192,SW,1953,5,21398.56249138926,0.21545274302545894,1,1000,6.9299126943015805,5,5,972
193,SW,1953,5,21398.56249138926,0.21545274302545894,1,5000,6.9299126943015805,5,5,19881
194,SW,1953,5,21398.56249138926,0.21545274302545894,1,10000,6.9299126943015805,5,5,20962
195,SW,1953,5,21398.56249138926,0.21545274302545894,1,15000,6.9299126943015805,5,5,21764
196,SW,1953,5,21398.56249138926,0.21545274302545894,1,1000,6.9299126943015805,5,10,978
197,SW,1953,5,21398.56249138926,0.21545274302545894,1,5000,6.9299126943015805,5,10,18840
198,SW,1953,5,21398.56249138926,0.21545274302545894,1,10000,6.9299126943015805,5,10,20141
