,graph,start_index,starting_neighbors,starting_betweenness,transitivity,components,beta,average_path,iterations,number_infected
24,SW,641,6,63822.976120087675,0.21545274302545894,1,0.001,6.9299126943015805,10,24089
25,SW,641,6,63822.976120087675,0.21545274302545894,1,0.01,6.9299126943015805,10,24173
26,SW,641,6,63822.976120087675,0.21545274302545894,1,0.05,6.9299126943015805,10,24316
27,SW,13735,6,78386.56940212284,0.21545274302545894,1,0.001,6.9299126943015805,10,24336
28,SW,13735,6,78386.56940212284,0.21545274302545894,1,0.01,6.9299126943015805,10,24119
29,SW,13735,6,78386.56940212284,0.21545274302545894,1,0.05,6.9299126943015805,10,24172
30,BA,14149,2,24551.0,0.0,1,0.001,13.056748903035343,10,3561
31,BA,14149,2,24551.0,0.0,1,0.01,13.056748903035343,10,2065
32,BA,14149,2,24551.0,0.0,1,0.05,13.056748903035343,10,456
33,BA,141,10,6477049.0,0.0,1,0.001,13.056748903035343,10,3045
34,BA,141,10,6477049.0,0.0,1,0.01,13.056748903035343,10,745
35,BA,141,10,6477049.0,0.0,1,0.05,13.056748903035343,10,2446
36,BA,21919,2,24551.0,0.0,1,0.001,13.056748903035343,10,46
37,BA,21919,2,24551.0,0.0,1,0.01,13.056748903035343,10,176
38,BA,21919,2,24551.0,0.0,1,0.05,13.056748903035343,10,50
39,BA,22657,1,0.0,0.0,1,0.001,13.056748903035343,10,2165
40,BA,22657,1,0.0,0.0,1,0.01,13.056748903035343,10,2639
41,BA,22657,1,0.0,0.0,1,0.05,13.056748903035343,10,1400
42,BA,17962,1,0.0,0.0,1,0.001,13.056748903035343,10,2340
43,BA,17962,1,0.0,0.0,1,0.01,13.056748903035343,10,336
44,BA,17962,1,0.0,0.0,1,0.05,13.056748903035343,10,1320
45,rewire,2711,1,0.0,0.3015208647383071,1494,0.001,2.832835405749342,10,21439
46,rewire,2711,1,0.0,0.3015208647383071,1494,0.01,2.832835405749342,10,21438
47,rewire,2711,1,0.0,0.3015208647383071,1494,0.05,2.832835405749342,10,21431
48,rewire,21452,1,0.0,0.3015208647383071,1494,0.001,2.832835405749342,10,21436
49,rewire,21452,1,0.0,0.3015208647383071,1494,0.01,2.832835405749342,10,21436
50,rewire,21452,1,0.0,0.3015208647383071,1494,0.05,2.832835405749342,10,21442
51,rewire,1429,1,0.0,0.3015208647383071,1494,0.001,2.832835405749342,10,21438
52,rewire,1429,1,0.0,0.3015208647383071,1494,0.01,2.832835405749342,10,21437
53,rewire,1429,1,0.0,0.3015208647383071,1494,0.05,2.832835405749342,10,21433
54,rewire,18916,1,0.0,0.3015208647383071,1494,0.001,2.832835405749342,10,21410
55,rewire,18916,1,0.0,0.3015208647383071,1494,0.01,2.832835405749342,10,21401
56,rewire,18916,1,0.0,0.3015208647383071,1494,0.05,2.832835405749342,10,21390
57,rewire,23160,1,0.0,0.3015208647383071,1494,0.001,2.832835405749342,10,2
58,rewire,23160,1,0.0,0.3015208647383071,1494,0.01,2.832835405749342,10,2
59,rewire,23160,1,0.0,0.3015208647383071,1494,0.05,2.832835405749342,10,2
60,ER,10783,2,69290.95253979416,0.00013779881373195138,2693,0.001,11.526740625978508,10,951
61,ER,10783,2,69290.95253979416,0.00013779881373195138,2693,0.01,11.526740625978508,10,2187
62,ER,10783,2,69290.95253979416,0.00013779881373195138,2693,0.05,11.526740625978508,10,1999
63,ER,18006,4,239907.84659288268,0.00013779881373195138,2693,0.001,11.526740625978508,10,2505
64,ER,18006,4,239907.84659288268,0.00013779881373195138,2693,0.01,11.526740625978508,10,2149
65,ER,18006,4,239907.84659288268,0.00013779881373195138,2693,0.05,11.526740625978508,10,2337
66,ER,3585,2,42832.0,0.00013779881373195138,2693,0.001,11.526740625978508,10,81
67,ER,3585,2,42832.0,0.00013779881373195138,2693,0.01,11.526740625978508,10,911
68,ER,3585,2,42832.0,0.00013779881373195138,2693,0.05,11.526740625978508,10,1200
69,ER,8930,1,0.0,0.00013779881373195138,2693,0.001,11.526740625978508,10,933
70,ER,8930,1,0.0,0.00013779881373195138,2693,0.01,11.526740625978508,10,463
71,ER,8930,1,0.0,0.00013779881373195138,2693,0.05,11.526740625978508,10,1387
72,ER,16681,3,43342.36102018819,0.00013779881373195138,2693,0.001,11.526740625978508,10,770
73,ER,16681,3,43342.36102018819,0.00013779881373195138,2693,0.01,11.526740625978508,10,796
74,ER,16681,3,43342.36102018819,0.00013779881373195138,2693,0.05,11.526740625978508,10,935
